 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.02670     Clsurf  =  -0.00458
     CYsurf  =  -0.00053     Cmsurf  =  -0.05370
     CDsurf  =   0.00205     Cnsurf  =   0.00041
     CDisurf =   0.00205     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06600     CDsurf  =   0.00507
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0005   1.7668   0.0039   0.1017   0.0057   0.0612   0.0558   0.2131   0.0000  -0.0794  -0.0872    1.673
     2   0.0049   1.7653   0.0116   0.1017   0.0060   0.0630   0.0574   0.0235   0.0000  -0.0795  -0.0873    1.634
     3   0.0136   1.7624   0.0192   0.1017   0.0067   0.0633   0.0577   0.0081   0.0000  -0.0796  -0.0874    1.631
     4   0.0267   1.7579   0.0268   0.1018   0.0073   0.0635   0.0579   0.0052   0.0000  -0.0799  -0.0877    1.630
     5   0.0441   1.7520   0.0342   0.1019   0.0079   0.0638   0.0581   0.0034   0.0000  -0.0802  -0.0881    1.630
     6   0.0657   1.7446   0.0415   0.1020   0.0083   0.0641   0.0584   0.0019   0.0000  -0.0806  -0.0885    1.629
     7   0.0916   1.7359   0.0485   0.1020   0.0086   0.0645   0.0588   0.0022   0.0000  -0.0809  -0.0889    1.627
     8   0.1216   1.7257   0.0553   0.1021   0.0088   0.0649   0.0591   0.0012   0.0000  -0.0813  -0.0893    1.625
     9   0.1557   1.7141   0.0619   0.1021   0.0089   0.0654   0.0595   0.0031   0.0000  -0.0817  -0.0898    1.623
    10   0.1938   1.7011   0.0681   0.1020   0.0089   0.0658   0.0600   0.0015   0.0000  -0.0821  -0.0903    1.620
    11   0.2358   1.6868   0.0741   0.1019   0.0089   0.0663   0.0604  -0.0010   0.0000  -0.0825  -0.0908    1.616
    12   0.2816   1.6713   0.0797   0.1017   0.0089   0.0668   0.0609   0.0017   0.0000  -0.0829  -0.0912    1.612
    13   0.3311   1.6544   0.0849   0.1015   0.0088   0.0673   0.0613   0.0010   0.0000  -0.0833  -0.0917    1.608
    14   0.3842   1.6364   0.0897   0.1011   0.0086   0.0679   0.0618  -0.0022   0.0000  -0.0836  -0.0921    1.603
    15   0.4407   1.6172   0.0941   0.1007   0.0085   0.0683   0.0623  -0.0007   0.0000  -0.0840  -0.0925    1.598
    16   0.5005   1.5969   0.0981   0.1001   0.0083   0.0688   0.0627   0.0013   0.0000  -0.0842  -0.0929    1.594
    17   0.5635   1.5754   0.1016   0.0995   0.0081   0.0693   0.0631   0.0040   0.0000  -0.0845  -0.0932    1.589
    18   0.6295   1.5530   0.1048   0.0987   0.0079   0.0698   0.0636   0.0028   0.0000  -0.0848  -0.0936    1.584
    19   0.6984   1.5296   0.1074   0.0979   0.0077   0.0702   0.0640   0.0030   0.0000  -0.0850  -0.0939    1.579
    20   0.7699   1.5053   0.1096   0.0970   0.0075   0.0707   0.0644   0.0044   0.0000  -0.0852  -0.0942    1.574
    21   0.8440   1.4801   0.1114   0.0959   0.0072   0.0712   0.0648   0.0014   0.0000  -0.0854  -0.0944    1.568
    22   0.9204   1.4541   0.1127   0.0948   0.0070   0.0716   0.0652   0.0016   0.0000  -0.0856  -0.0947    1.562
    23   0.9990   1.4274   0.1136   0.0936   0.0068   0.0720   0.0656   0.0011   0.0000  -0.0857  -0.0949    1.557
    24   1.0795   1.4000   0.1140   0.0924   0.0066   0.0723   0.0659   0.0133   0.0000  -0.0858  -0.0951    1.553
    25   1.1618   1.3721   0.1140   0.0910   0.0064   0.0728   0.0663   0.0069   0.0000  -0.0860  -0.0953    1.547
    26   1.2457   1.3435   0.1136   0.0896   0.0062   0.0731   0.0666   0.0070   0.0000  -0.0860  -0.0955    1.541
    27   1.3309   1.3146   0.1129   0.0881   0.0060   0.0735   0.0669   0.0137   0.0000  -0.0861  -0.0956    1.537
    28   1.4173   1.2852   0.1117   0.0866   0.0058   0.0739   0.0673   0.0043   0.0000  -0.0862  -0.0958    1.530
    29   1.5047   1.2555   0.1102   0.0850   0.0056   0.0743   0.0676   0.0068   0.0000  -0.0863  -0.0959    1.525
    30   1.5928   1.2255   0.1084   0.0834   0.0054   0.0747   0.0680   0.0004   0.0000  -0.0863  -0.0960    1.519
