 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.03924     Clsurf  =  -0.00680
     CYsurf  =  -0.00033     Cmsurf  =  -0.07858
     CDsurf  =   0.00111     Cnsurf  =   0.00004
     CDisurf =   0.00111     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.09700     CDsurf  =   0.00275
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0005   1.7668   0.0039   0.1443   0.0068   0.0844   0.0769   0.5778   0.0000  -0.1132  -0.1242    1.723
     2   0.0049   1.7653   0.0116   0.1443   0.0072   0.0892   0.0812   0.0636   0.0000  -0.1133  -0.1243    1.645
     3   0.0136   1.7624   0.0192   0.1444   0.0079   0.0897   0.0817   0.0223   0.0000  -0.1135  -0.1245    1.639
     4   0.0267   1.7579   0.0268   0.1445   0.0087   0.0901   0.0821   0.0116   0.0000  -0.1139  -0.1249    1.637
     5   0.0441   1.7520   0.0342   0.1446   0.0095   0.0905   0.0825   0.0089   0.0000  -0.1143  -0.1255    1.637
     6   0.0657   1.7446   0.0415   0.1447   0.0102   0.0910   0.0829   0.0047   0.0000  -0.1149  -0.1261    1.636
     7   0.0916   1.7359   0.0485   0.1449   0.0107   0.0916   0.0834   0.0046   0.0000  -0.1155  -0.1268    1.635
     8   0.1216   1.7257   0.0553   0.1450   0.0111   0.0922   0.0840   0.0072   0.0000  -0.1162  -0.1275    1.634
     9   0.1557   1.7141   0.0619   0.1451   0.0113   0.0929   0.0846   0.0082   0.0000  -0.1169  -0.1283    1.632
    10   0.1938   1.7011   0.0681   0.1452   0.0115   0.0936   0.0853   0.0079   0.0000  -0.1176  -0.1292    1.629
    11   0.2358   1.6868   0.0741   0.1451   0.0116   0.0944   0.0860   0.0033   0.0000  -0.1183  -0.1300    1.626
    12   0.2816   1.6713   0.0797   0.1451   0.0117   0.0952   0.0868   0.0043   0.0000  -0.1190  -0.1308    1.622
    13   0.3311   1.6544   0.0849   0.1449   0.0117   0.0960   0.0875   0.0106   0.0000  -0.1197  -0.1316    1.619
    14   0.3842   1.6364   0.0897   0.1446   0.0116   0.0970   0.0883   0.0016   0.0000  -0.1204  -0.1324    1.613
    15   0.4407   1.6172   0.0941   0.1442   0.0115   0.0979   0.0891   0.0022   0.0000  -0.1210  -0.1332    1.608
    16   0.5005   1.5969   0.0981   0.1437   0.0114   0.0988   0.0900   0.0000   0.0000  -0.1217  -0.1340    1.602
    17   0.5635   1.5754   0.1016   0.1430   0.0113   0.0996   0.0907   0.0046   0.0000  -0.1223  -0.1347    1.597
    18   0.6295   1.5530   0.1048   0.1422   0.0111   0.1006   0.0916  -0.0000   0.0000  -0.1228  -0.1354    1.591
    19   0.6984   1.5296   0.1074   0.1413   0.0109   0.1014   0.0923   0.0100   0.0000  -0.1233  -0.1361    1.586
    20   0.7699   1.5053   0.1096   0.1403   0.0107   0.1023   0.0932   0.0043   0.0000  -0.1238  -0.1368    1.579
    21   0.8440   1.4801   0.1114   0.1391   0.0105   0.1032   0.0940  -0.0016   0.0000  -0.1243  -0.1374    1.572
    22   0.9204   1.4541   0.1127   0.1378   0.0102   0.1040   0.0948   0.0026   0.0000  -0.1247  -0.1379    1.566
    23   0.9990   1.4274   0.1136   0.1364   0.0100   0.1049   0.0956  -0.0037   0.0000  -0.1251  -0.1385    1.559
    24   1.0795   1.4000   0.1140   0.1349   0.0097   0.1058   0.0964  -0.0069   0.0000  -0.1255  -0.1390    1.552
    25   1.1618   1.3721   0.1140   0.1332   0.0095   0.1066   0.0971  -0.0014   0.0000  -0.1258  -0.1395    1.546
    26   1.2457   1.3435   0.1136   0.1314   0.0093   0.1074   0.0978   0.0004   0.0000  -0.1261  -0.1399    1.539
    27   1.3309   1.3146   0.1129   0.1295   0.0090   0.1082   0.0986  -0.0040   0.0000  -0.1263  -0.1403    1.532
    28   1.4173   1.2852   0.1117   0.1275   0.0088   0.1089   0.0992   0.0014   0.0000  -0.1266  -0.1407    1.526
    29   1.5047   1.2555   0.1102   0.1255   0.0086   0.1097   0.0999  -0.0005   0.0000  -0.1268  -0.1411    1.519
    30   1.5928   1.2255   0.1084   0.1233   0.0084   0.1104   0.1006   0.0034   0.0000  -0.1270  -0.1414    1.512
    31   1.6815   1.1954   0.1062   0.1211   0.0082   0.1112   0.1013  -0.0023   0.0000  -0.1271  -0.1417    1.505
    32   1.7705   1.1651   0.1038   0.1188   0.0080   0.1119   0.1019   0.0012   0.0000  -0.1273  -0.1420    1.499
    33   1.8595   1.1349   0.1011   0.1164   0.0078   0.1126   0.1025   0.0032   0.0000  -0.1274  -0.1422    1.493
    34   1.9485   1.1046   0.0981   0.1140   0.0076   0.1132   0.1031   0.0043   0.0000  -0.1275  -0.1425    1.486
    35   2.0372   1.0745   0.0950   0.1115   0.0075   0.1139   0.1038  -0.0003   0.0000  -0.1276  -0.1427    1.479
    36   2.1253   1.0445   0.0917   0.1090   0.0073   0.1146   0.1044   0.0010   0.0000  -0.1277  -0.1429    1.473
    37   2.2127   1.0148   0.0882   0.1065   0.0072   0.1152   0.1050  -0.0009   0.0000  -0.1277  -0.1431    1.467
    38   2.2991   0.9854   0.0846   0.1039   0.0072   0.1158   0.1054   0.0047   0.0000  -0.1277  -0.1432    1.461
    39   2.3843   0.9565   0.0809   0.1014   0.0071   0.1163   0.1060   0.0033   0.0000  -0.1278  -0.1434    1.455
    40   2.4682   0.9279   0.0771   0.0988   0.0071   0.1169   0.1065   0.0044   0.0000  -0.1277  -0.1435    1.450
    41   2.5505   0.9000   0.0733   0.0963   0.0072   0.1174   0.1069   0.0061   0.0000  -0.1277  -0.1435    1.444
    42   2.6310   0.8726   0.0694   0.0937   0.0072   0.1179   0.1074  -0.0020   0.0000  -0.1276  -0.1436    1.438
    43   2.7096   0.8459   0.0656   0.0912   0.0074   0.1183   0.1077   0.0044   0.0000  -0.1275  -0.1436    1.434
    44   2.7860   0.8199   0.0617   0.0886   0.0076   0.1187   0.1081  -0.0017   0.0000  -0.1274  -0.1435    1.428
    45   2.8601   0.7947   0.0579   0.0861   0.0080   0.1189   0.1083   0.0053   0.0000  -0.1271  -0.1433    1.423
    46   2.9316   0.7704   0.0541   0.0836   0.0084   0.1191   0.1085   0.0028   0.0000  -0.1268  -0.1431    1.418
    47   3.0005   0.7470   0.0504   0.0811   0.0090   0.1192   0.1086   0.0019   0.0000  -0.1264  -0.1427    1.414
    48   3.0665   0.7246   0.0467   0.0786   0.0097   0.1191   0.1085   0.0048   0.0000  -0.1258  -0.1421    1.409
    49   3.1295   0.7031   0.0432   0.0761   0.0106   0.1188   0.1082   0.0029   0.0000  -0.1250  -0.1413    1.404
    50   3.1893   0.6828   0.0397   0.0736   0.0117   0.1183   0.1078  -0.0006   0.0000  -0.1239  -0.1402    1.400
    51   3.2458   0.6636   0.0364   0.0709   0.0132   0.1174   0.1069   0.0011   0.0000  -0.1224  -0.1386    1.395
    52   3.2989   0.6456   0.0331   0.0682   0.0149   0.1160   0.1057  -0.0004   0.0000  -0.1205  -0.1366    1.391
    53   3.3484   0.6287   0.0300   0.0653   0.0169   0.1141   0.1039  -0.0019   0.0000  -0.1181  -0.1339    1.386
    54   3.3942   0.6132   0.0269   0.0622   0.0194   0.1114   0.1015   0.0018   0.0000  -0.1149  -0.1304    1.382
    55   3.4362   0.5989   0.0240   0.0589   0.0224   0.1079   0.0983  -0.0014   0.0000  -0.1108  -0.1259    1.378
    56   3.4743   0.5859   0.0212   0.0551   0.0258   0.1033   0.0941   0.0005   0.0000  -0.1057  -0.1201    1.374
    57   3.5084   0.5743   0.0184   0.0510   0.0298   0.0975   0.0888   0.0010   0.0000  -0.0994  -0.1130    1.370
    58   3.5384   0.5641   0.0158   0.0464   0.0346   0.0902   0.0822   0.0010   0.0000  -0.0917  -0.1043    1.366
    59   3.5643   0.5554   0.0132   0.0411   0.0402   0.0813   0.0741  -0.0009   0.0000  -0.0824  -0.0938    1.362
    60   3.5859   0.5480   0.0107   0.0352   0.0466   0.0706   0.0643  -0.0002   0.0000  -0.0713  -0.0812    1.359
    61   3.6033   0.5421   0.0083   0.0286   0.0536   0.0579   0.0527  -0.0028   0.0000  -0.0583  -0.0664    1.355
    62   3.6164   0.5376   0.0059   0.0211   0.0600   0.0432   0.0393  -0.0019   0.0000  -0.0434  -0.0495    1.353
    63   3.6251   0.5347   0.0035   0.0130   0.0646   0.0267   0.0243  -0.0021   0.0000  -0.0268  -0.0306    1.351
    64   3.6295   0.5332   0.0012   0.0044   0.0668   0.0091   0.0083  -0.0032   0.0000  -0.0091  -0.0103    1.347

  Surface # 2     Wing (YDUP)                             
     # Chordwise =  8   # Spanwise = 64     First strip = 65
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.03924     Clsurf  =   0.00680
     CYsurf  =   0.00022     Cmsurf  =  -0.07858
     CDsurf  =   0.00083     Cnsurf  =   0.00003
     CDisurf =   0.00083     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.09701     CDsurf  =   0.00204
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    65  -0.0005   1.7668   0.0039   0.1443   0.0068   0.0844   0.0769   0.5778   0.0000  -0.1132   0.1242    1.723
    66  -0.0049   1.7653   0.0116   0.1443   0.0072   0.0892   0.0812   0.0635   0.0000  -0.1133   0.1243    1.645
    67  -0.0136   1.7624   0.0192   0.1444   0.0079   0.0897   0.0817   0.0219   0.0000  -0.1135   0.1245    1.639
    68  -0.0267   1.7579   0.0268   0.1445   0.0087   0.0901   0.0821   0.0117   0.0000  -0.1139   0.1249    1.637
    69  -0.0441   1.7520   0.0342   0.1446   0.0095   0.0905   0.0825   0.0083   0.0000  -0.1143   0.1255    1.637
    70  -0.0657   1.7446   0.0415   0.1447   0.0102   0.0910   0.0829   0.0046   0.0000  -0.1149   0.1261    1.636
    71  -0.0916   1.7359   0.0485   0.1449   0.0107   0.0916   0.0834   0.0052   0.0000  -0.1155   0.1268    1.635
    72  -0.1216   1.7257   0.0553   0.1450   0.0111   0.0922   0.0840   0.0043   0.0000  -0.1162   0.1275    1.633
    73  -0.1557   1.7141   0.0619   0.1451   0.0113   0.0929   0.0846   0.0067   0.0000  -0.1169   0.1283    1.632
    74  -0.1938   1.7011   0.0681   0.1452   0.0115   0.0936   0.0853   0.0077   0.0000  -0.1176   0.1292    1.629
    75  -0.2358   1.6868   0.0741   0.1451   0.0116   0.0944   0.0860   0.0031   0.0000  -0.1183   0.1300    1.626
    76  -0.2816   1.6713   0.0797   0.1451   0.0117   0.0952   0.0868   0.0044   0.0000  -0.1190   0.1308    1.622
    77  -0.3311   1.6544   0.0849   0.1449   0.0117   0.0960   0.0875   0.0105   0.0000  -0.1197   0.1316    1.619
    78  -0.3842   1.6364   0.0897   0.1446   0.0116   0.0970   0.0884  -0.0010   0.0000  -0.1204   0.1324    1.613
    79  -0.4407   1.6172   0.0941   0.1442   0.0115   0.0979   0.0892   0.0006   0.0000  -0.1210   0.1332    1.608
    80  -0.5005   1.5969   0.0981   0.1437   0.0114   0.0988   0.0900   0.0000   0.0000  -0.1217   0.1340    1.602
    81  -0.5635   1.5754   0.1016   0.1430   0.0113   0.0996   0.0908   0.0041   0.0000  -0.1223   0.1347    1.597
    82  -0.6295   1.5530   0.1048   0.1422   0.0111   0.1006   0.0916  -0.0002   0.0000  -0.1228   0.1354    1.591
    83  -0.6984   1.5296   0.1074   0.1413   0.0109   0.1014   0.0923   0.0077   0.0000  -0.1233   0.1361    1.586
    84  -0.7699   1.5053   0.1096   0.1403   0.0107   0.1023   0.0932   0.0043   0.0000  -0.1238   0.1368    1.579
    85  -0.8440   1.4801   0.1114   0.1391   0.0105   0.1032   0.0940  -0.0011   0.0000  -0.1243   0.1374    1.572
    86  -0.9204   1.4541   0.1127   0.1378   0.0102   0.1041   0.0948  -0.0023   0.0000  -0.1247   0.1379    1.565
    87  -0.9990   1.4274   0.1136   0.1364   0.0100   0.1049   0.0955   0.0025   0.0000  -0.1251   0.1385    1.559
    88  -1.0795   1.4000   0.1140   0.1349   0.0097   0.1058   0.0964  -0.0085   0.0000  -0.1255   0.1390    1.551
    89  -1.1618   1.3721   0.1140   0.1332   0.0095   0.1066   0.0971  -0.0023   0.0000  -0.1258   0.1395    1.545
    90  -1.2457   1.3435   0.1136   0.1314   0.0093   0.1074   0.0978   0.0015   0.0000  -0.1261   0.1399    1.539
    91  -1.3309   1.3146   0.1129   0.1295   0.0090   0.1082   0.0985  -0.0017   0.0000  -0.1263   0.1403    1.532
    92  -1.4173   1.2852   0.1117   0.1275   0.0088   0.1089   0.0992   0.0005   0.0000  -0.1266   0.1407    1.525
    93  -1.5047   1.2555   0.1102   0.1255   0.0086   0.1097   0.1000  -0.0020   0.0000  -0.1268   0.1411    1.518
    94  -1.5928   1.2255   0.1084   0.1233   0.0084   0.1104   0.1006   0.0002   0.0000  -0.1270   0.1414    1.512
    95  -1.6815   1.1954   0.1062   0.1211   0.0082   0.1112   0.1013  -0.0031   0.0000  -0.1271   0.1417    1.505
    96  -1.7705   1.1651   0.1038   0.1188   0.0080   0.1119   0.1019   0.0004   0.0000  -0.1273   0.1420    1.499
    97  -1.8595   1.1349   0.1011   0.1164   0.0078   0.1126   0.1025   0.0025   0.0000  -0.1274   0.1422    1.492
    98  -1.9485   1.1046   0.0981   0.1140   0.0076   0.1133   0.1032  -0.0002   0.0000  -0.1275   0.1425    1.486
    99  -2.0372   1.0745   0.0950   0.1115   0.0075   0.1139   0.1038  -0.0004   0.0000  -0.1276   0.1427    1.479
   100  -2.1253   1.0445   0.0917   0.1090   0.0073   0.1146   0.1044   0.0026   0.0000  -0.1277   0.1429    1.473
   101  -2.2127   1.0148   0.0882   0.1065   0.0072   0.1152   0.1050  -0.0015   0.0000  -0.1277   0.1431    1.467
   102  -2.2991   0.9854   0.0846   0.1039   0.0072   0.1158   0.1055   0.0030   0.0000  -0.1277   0.1432    1.461
   103  -2.3843   0.9565   0.0809   0.1014   0.0071   0.1164   0.1060   0.0005   0.0000  -0.1278   0.1434    1.455
   104  -2.4682   0.9279   0.0771   0.0988   0.0071   0.1169   0.1065   0.0033   0.0000  -0.1277   0.1435    1.450
   105  -2.5505   0.9000   0.0733   0.0963   0.0072   0.1174   0.1069   0.0048   0.0000  -0.1277   0.1435    1.444
   106  -2.6310   0.8726   0.0694   0.0937   0.0072   0.1179   0.1074   0.0011   0.0000  -0.1276   0.1436    1.438
   107  -2.7096   0.8459   0.0656   0.0912   0.0074   0.1183   0.1078   0.0014   0.0000  -0.1275   0.1436    1.433
   108  -2.7860   0.8199   0.0617   0.0886   0.0076   0.1187   0.1081  -0.0016   0.0000  -0.1274   0.1435    1.428
   109  -2.8601   0.7947   0.0579   0.0861   0.0079   0.1189   0.1083   0.0045   0.0000  -0.1271   0.1433    1.423
   110  -2.9316   0.7704   0.0541   0.0836   0.0084   0.1191   0.1085   0.0027   0.0000  -0.1268   0.1431    1.418
   111  -3.0005   0.7470   0.0504   0.0811   0.0090   0.1192   0.1086  -0.0006   0.0000  -0.1264   0.1427    1.413
   112  -3.0665   0.7246   0.0467   0.0786   0.0097   0.1191   0.1085   0.0048   0.0000  -0.1258   0.1421    1.409
   113  -3.1295   0.7031   0.0432   0.0761   0.0106   0.1188   0.1082   0.0027   0.0000  -0.1250   0.1413    1.404
   114  -3.1893   0.6828   0.0397   0.0736   0.0117   0.1183   0.1078  -0.0026   0.0000  -0.1239   0.1402    1.399
   115  -3.2458   0.6636   0.0364   0.0709   0.0132   0.1174   0.1069  -0.0002   0.0000  -0.1224   0.1386    1.395
   116  -3.2989   0.6456   0.0331   0.0682   0.0149   0.1160   0.1057  -0.0020   0.0000  -0.1205   0.1366    1.391
   117  -3.3484   0.6287   0.0300   0.0653   0.0169   0.1141   0.1039  -0.0037   0.0000  -0.1181   0.1339    1.386
   118  -3.3942   0.6132   0.0269   0.0622   0.0194   0.1114   0.1015   0.0009   0.0000  -0.1149   0.1304    1.382
   119  -3.4362   0.5989   0.0240   0.0589   0.0224   0.1079   0.0983  -0.0018   0.0000  -0.1108   0.1259    1.378
   120  -3.4743   0.5859   0.0212   0.0551   0.0258   0.1033   0.0941  -0.0005   0.0000  -0.1057   0.1201    1.374
   121  -3.5084   0.5743   0.0184   0.0510   0.0298   0.0975   0.0888  -0.0014   0.0000  -0.0994   0.1130    1.370
   122  -3.5384   0.5641   0.0158   0.0464   0.0346   0.0902   0.0822   0.0008   0.0000  -0.0917   0.1043    1.366
   123  -3.5643   0.5554   0.0132   0.0411   0.0402   0.0813   0.0741  -0.0026   0.0000  -0.0824   0.0938    1.362
   124  -3.5859   0.5480   0.0107   0.0352   0.0466   0.0706   0.0643  -0.0005   0.0000  -0.0713   0.0812    1.359
   125  -3.6033   0.5421   0.0083   0.0286   0.0536   0.0579   0.0528  -0.0034   0.0000  -0.0583   0.0664    1.355
   126  -3.6164   0.5376   0.0059   0.0211   0.0600   0.0432   0.0393  -0.0020   0.0000  -0.0434   0.0495    1.353
   127  -3.6251   0.5347   0.0035   0.0130   0.0646   0.0267   0.0244  -0.0035   0.0000  -0.0268   0.0306    1.350
   128  -3.6295   0.5332   0.0012   0.0044   0.0668   0.0091   0.0083  -0.0034   0.0000  -0.0091   0.0103    1.346
 ---------------------------------------------------------------
