 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.04040     Clsurf  =  -0.00703
     CYsurf  =  -0.00005     Cmsurf  =  -0.07783
     CDsurf  =   0.00020     Cnsurf  =  -0.00011
     CDisurf =   0.00020     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.09988     CDsurf  =   0.00049
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0284   1.7574   0.0997   0.1476   0.0090   0.0921   0.0839   0.0135   0.0000  -0.1108  -0.1225    1.570
     2   0.0851   1.7381   0.0986   0.1479   0.0103   0.0933   0.0851   0.0047   0.0000  -0.1119  -0.1238    1.566
     3   0.1418   1.7188   0.0975   0.1481   0.0110   0.0945   0.0861   0.0040   0.0000  -0.1130  -0.1250    1.562
     4   0.1985   1.6995   0.0964   0.1482   0.0114   0.0957   0.0872   0.0027   0.0000  -0.1139  -0.1261    1.556
     5   0.2552   1.6802   0.0953   0.1482   0.0116   0.0968   0.0882   0.0021   0.0000  -0.1148  -0.1272    1.551
     6   0.3120   1.6610   0.0942   0.1481   0.0117   0.0978   0.0891   0.0024   0.0000  -0.1155  -0.1281    1.546
     7   0.3687   1.6417   0.0931   0.1479   0.0117   0.0988   0.0901   0.0013   0.0000  -0.1162  -0.1289    1.540
     8   0.4254   1.6224   0.0920   0.1475   0.0116   0.0998   0.0909   0.0014   0.0000  -0.1168  -0.1297    1.535
     9   0.4821   1.6031   0.0909   0.1471   0.0116   0.1007   0.0918   0.0008   0.0000  -0.1174  -0.1304    1.529
    10   0.5388   1.5838   0.0898   0.1466   0.0115   0.1016   0.0926   0.0011   0.0000  -0.1179  -0.1311    1.524
    11   0.5955   1.5645   0.0887   0.1460   0.0113   0.1024   0.0933   0.0005   0.0000  -0.1184  -0.1317    1.519
    12   0.6523   1.5453   0.0876   0.1454   0.0112   0.1032   0.0941   0.0000   0.0000  -0.1188  -0.1323    1.513
    13   0.7090   1.5260   0.0866   0.1446   0.0111   0.1040   0.0948   0.0005   0.0000  -0.1192  -0.1328    1.508
