 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.11972     Clsurf  =  -0.02061
     CYsurf  =  -0.00081     Cmsurf  =  -0.12182
     CDsurf  =   0.00604     Cnsurf  =   0.00124
     CDisurf =   0.00604     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.29596     CDsurf  =   0.01493
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0005   1.7668   0.0039   0.4420   0.0294   0.2719   0.2477   0.2909   0.0000  -0.0850  -0.1371    0.593
     2   0.0049   1.7653   0.0116   0.4420   0.0299   0.2745   0.2501   0.0353   0.0000  -0.0850  -0.1372    0.590
     3   0.0136   1.7624   0.0192   0.4420   0.0306   0.2752   0.2507   0.0141   0.0000  -0.0851  -0.1374    0.590
     4   0.0267   1.7579   0.0268   0.4421   0.0313   0.2760   0.2514   0.0105   0.0000  -0.0853  -0.1377    0.589
     5   0.0441   1.7520   0.0342   0.4422   0.0320   0.2770   0.2523   0.0080   0.0000  -0.0854  -0.1380    0.588
     6   0.0657   1.7446   0.0415   0.4422   0.0325   0.2782   0.2534   0.0062   0.0000  -0.0855  -0.1384    0.587
     7   0.0916   1.7359   0.0485   0.4423   0.0328   0.2797   0.2548   0.0042   0.0000  -0.0856  -0.1387    0.586
     8   0.1216   1.7257   0.0553   0.4422   0.0331   0.2813   0.2563   0.0038   0.0000  -0.0856  -0.1391    0.584
     9   0.1557   1.7141   0.0619   0.4421   0.0333   0.2831   0.2579   0.0072   0.0000  -0.0856  -0.1395    0.582
    10   0.1938   1.7011   0.0681   0.4419   0.0334   0.2851   0.2597   0.0084   0.0000  -0.0856  -0.1399    0.580
    11   0.2358   1.6868   0.0741   0.4416   0.0334   0.2873   0.2617   0.0042   0.0000  -0.0856  -0.1404    0.577
    12   0.2816   1.6713   0.0797   0.4411   0.0334   0.2897   0.2639   0.0051   0.0000  -0.0856  -0.1408    0.574
    13   0.3311   1.6544   0.0849   0.4403   0.0333   0.2921   0.2661   0.0059   0.0000  -0.0855  -0.1413    0.571
    14   0.3842   1.6364   0.0897   0.4394   0.0332   0.2947   0.2685   0.0047   0.0000  -0.0855  -0.1419    0.568
    15   0.4407   1.6172   0.0941   0.4382   0.0330   0.2974   0.2710   0.0057   0.0000  -0.0855  -0.1424    0.566
    16   0.5005   1.5969   0.0981   0.4368   0.0328   0.3003   0.2735   0.0044   0.0000  -0.0855  -0.1430    0.563
    17   0.5635   1.5754   0.1016   0.4351   0.0325   0.3031   0.2761   0.0077   0.0000  -0.0855  -0.1436    0.560
    18   0.6295   1.5530   0.1048   0.4331   0.0322   0.3061   0.2788   0.0055   0.0000  -0.0855  -0.1442    0.557
    19   0.6984   1.5296   0.1074   0.4308   0.0319   0.3091   0.2816   0.0035   0.0000  -0.0855  -0.1449    0.554
    20   0.7699   1.5053   0.1096   0.4281   0.0316   0.3122   0.2844   0.0052   0.0000  -0.0855  -0.1455    0.551
