 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    6.021090       Ave. chord =    1.347000
     CLsurf  =   0.05900     Clsurf  =  -0.01233
     CYsurf  =  -0.00007     Cmsurf  =  -0.13557
     CDsurf  =   0.00029     Cnsurf  =  -0.00018
     CDisurf =   0.00029     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.10112     CDsurf  =   0.00050
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0349   2.1483   0.1500   0.1838   0.0113   0.0935   0.0855   0.0132   0.0000  -0.1107  -0.1228    1.545
     2   0.1048   2.1228   0.1483   0.1840   0.0121   0.0947   0.0866   0.0051   0.0000  -0.1120  -0.1242    1.542
     3   0.1746   2.0974   0.1465   0.1840   0.0125   0.0959   0.0877   0.0038   0.0000  -0.1131  -0.1255    1.539
     4   0.2445   2.0720   0.1447   0.1838   0.0126   0.0970   0.0887   0.0026   0.0000  -0.1141  -0.1266    1.536
     5   0.3143   2.0465   0.1429   0.1836   0.0126   0.0981   0.0897   0.0024   0.0000  -0.1150  -0.1277    1.532
     6   0.3841   2.0211   0.1412   0.1831   0.0126   0.0991   0.0906   0.0018   0.0000  -0.1157  -0.1286    1.528
     7   0.4540   1.9957   0.1394   0.1826   0.0125   0.1000   0.0915   0.0018   0.0000  -0.1164  -0.1295    1.523
     8   0.5238   1.9702   0.1376   0.1819   0.0123   0.1009   0.0923   0.0011   0.0000  -0.1171  -0.1303    1.518
     9   0.5937   1.9448   0.1358   0.1811   0.0122   0.1018   0.0931   0.0007   0.0000  -0.1177  -0.1310    1.514
    10   0.6635   1.9193   0.1341   0.1802   0.0120   0.1027   0.0939   0.0011   0.0000  -0.1182  -0.1317    1.509
    11   0.7334   1.8939   0.1323   0.1792   0.0118   0.1035   0.0946   0.0008   0.0000  -0.1187  -0.1323    1.504
    12   0.8032   1.8685   0.1305   0.1781   0.0116   0.1043   0.0953   0.0002   0.0000  -0.1191  -0.1329    1.500
    13   0.8730   1.8430   0.1287   0.1770   0.0114   0.1050   0.0960   0.0004   0.0000  -0.1196  -0.1334    1.495
    14   0.9429   1.8176   0.1269   0.1757   0.0112   0.1057   0.0967   0.0000   0.0000  -0.1199  -0.1339    1.490
    15   1.0127   1.7922   0.1252   0.1744   0.0110   0.1064   0.0973  -0.0001   0.0000  -0.1203  -0.1344    1.486
    16   1.0826   1.7667   0.1234   0.1731   0.0108   0.1071   0.0979   0.0006   0.0000  -0.1206  -0.1349    1.481
